zip_code,year,lat,lon,Earned_Premium,Earned_Exposure,Composite_Risk_Score,Actual_Premium_per_Exposure,Predicted_Premium_per_Exposure,Prediction_Error_$,Prediction_Error_%,Absolute_Error_$,Absolute_Error_%,Pricing_Category,Recommended_Rate_Change_%
95959,2021,39.338507027209275,-120.92059996480354,7260559.0,3962.0,0.39675223482477573,1832.5489651691066,1632.0687,200.48023958316912,10.94,200.48023958316912,10.94,OVERPRICED,-10.9
95926,2021,39.745626791400035,-121.84383081233352,5047331.0,4722.0,0.38691813761524335,1068.896865734858,1044.6322,24.26466358642051,2.27,24.26466358642051,2.27,Adequate,-2.3
95932,2021,39.272047200978015,-121.998837084281,943694.0,941.0,0.3913429831385133,1002.8629117959617,916.23865,86.62426433502424,8.64,86.62426433502424,8.64,Adequate,-8.6
95638,2021,38.334340035320935,-121.1226070834086,477147.0,337.0,0.41725815096897034,1415.86646884273,1264.4949,151.371595795855,10.69,151.371595795855,10.69,Adequate,-10.7
90501,2021,33.833441098673816,-118.31425343534993,2797286.0,2901.0,0.45281016780831135,964.2488796966563,957.81915,6.429726864625081,0.67,6.429726864625081,0.67,Adequate,-0.7
91316,2021,34.16041100785942,-118.5166793628788,7166784.0,2553.0,0.37254420556606577,2807.200940070505,2101.07,706.1308717111301,25.15,706.1308717111301,25.15,OVERPRICED,-25.2
91356,2021,34.1550991839031,-118.54755262884008,10181550.0,3330.0,0.3971255367995796,3057.5225225225226,2486.394,571.1284795537726,18.68,571.1284795537726,18.68,OVERPRICED,-18.7
90025,2021,34.04550070636293,-118.44591735758723,1695726.0,973.0,0.4020507223730065,1742.781089414183,1714.5345,28.246543515745543,1.62,28.246543515745543,1.62,Adequate,-1.6
95660,2021,38.67856075813241,-121.37997780433464,2891107.0,3597.0,0.46504739883959034,803.7550736725049,755.57214,48.182930117817364,5.99,48.182930117817364,5.99,Adequate,-6.0
90602,2021,33.97199291342758,-118.0221367573798,1973978.0,1767.0,0.5290076284431617,1117.1352574985851,984.0994,133.03583122905388,11.91,133.03583122905388,11.91,Adequate,-11.9
96116,2021,41.26314265694601,-120.42212779881793,23265.0,21.0,0.3719314746507615,1107.857142857143,1296.0642,-188.2070661272321,-16.99,188.2070661272321,16.99,UNDERPRICED,17.0
95945,2021,39.19509410013777,-120.97701598737342,6585448.0,4379.0,0.3823595165252696,1503.8702900205526,1318.9042,184.9661152158651,12.3,184.9661152158651,12.3,OVERPRICED,-12.3
96158,2021,0.0,0.0,12344.0,4.0,0.3249685435933077,3086.0,1054.0831,2031.9168701171875,65.84,2031.9168701171875,65.84,OVERPRICED,-65.8
96135,2021,39.808676877676646,-120.20566361568274,10767.0,5.0,0.3509169344191392,2153.4,1971.6444,181.7555908203126,8.44,181.7555908203126,8.44,Adequate,-8.4
95625,2021,38.35812143448625,-121.91154705956886,32775.0,32.0,0.47273882177578086,1024.21875,1327.793,-303.57421875,-29.64,303.57421875,29.64,UNDERPRICED,29.6
95966,2021,39.47123701643335,-121.42817679633056,6038649.0,4483.0,0.4356838616989032,1347.0107071157706,1112.3583,234.65243074858313,17.42,234.65243074858313,17.42,OVERPRICED,-17.4
90304,2021,33.93788650184927,-118.3585586155826,788800.0,948.0,0.5721899151832051,832.0675105485232,816.608,15.45953935711691,1.86,15.45953935711691,1.86,Adequate,-1.9
90002,2021,33.94909864500256,-118.24673699405244,1523488.0,1939.0,0.5893105024284458,785.7080969571945,779.9858,5.722318148600721,0.73,5.722318148600721,0.73,Adequate,-0.7
95941,2021,39.520996965249665,-121.24228363727858,68844.0,47.0,0.4107984323543798,1464.7659574468084,1452.994,11.771938892120943,0.8,11.771938892120943,0.8,Adequate,-0.8
95919,2021,39.43288860624643,-121.26114275870938,195206.0,150.0,0.3586147863985406,1301.3733333333332,1313.6174,-12.244098307291779,-0.94,12.244098307291779,0.94,Adequate,0.9
96128,2021,40.355188132054586,-120.4104997985347,105847.0,68.0,0.37532280408143076,1556.5735294117646,1285.1666,271.40690343520214,17.44,271.40690343520214,17.44,OVERPRICED,-17.4
95957,2021,39.062199863196994,-121.82826910732692,76733.0,65.0,0.4064089630534552,1180.5076923076922,1171.8784,8.629274338942196,0.73,8.629274338942196,0.73,Adequate,-0.7
90305,2021,33.959569530143696,-118.33012598672474,1857581.0,1681.0,0.4712246816571638,1105.0452111838192,1034.8601,70.18510376194422,6.35,70.18510376194422,6.35,Adequate,-6.4
90630,2021,33.818111696123495,-118.0381693042812,4899048.0,4766.0,0.4671577571146479,1027.916072177927,952.6445,75.27160196308319,7.32,75.27160196308319,7.32,Adequate,-7.3
96118,2021,39.63881054613075,-120.22927799281474,511743.0,339.0,0.3766798015973994,1509.5663716814158,1191.0961,318.47030234547833,21.1,318.47030234547833,21.1,OVERPRICED,-21.1
95645,2021,38.886606980233395,-121.78687343685208,155576.0,184.0,0.4006337835986261,845.5217391304348,868.5804,-23.058644170346497,-2.73,23.058644170346497,2.73,Adequate,2.7
96134,2021,41.838277412118984,-121.40652982937816,218267.0,192.0,0.3800132922418793,1136.8072916666667,925.9732,210.8340861002605,18.55,210.8340861002605,18.55,OVERPRICED,-18.5
95658,2021,38.879544147436334,-121.15384946355856,2551608.0,1512.0,0.4293560483337085,1687.5714285714287,1538.2478,149.32362583705367,8.85,149.32362583705367,8.85,Adequate,-8.8
90605,2021,33.94974697115441,-118.0233916329046,4265865.0,4096.0,0.5708050577882385,1041.470947265625,941.1015,100.36944580078125,9.64,100.36944580078125,9.64,Adequate,-9.6
95935,2021,39.377558711173776,-121.19117087955254,156715.0,103.0,0.3353122569410947,1521.504854368932,1263.4539,258.050996947057,16.96,258.050996947057,16.96,OVERPRICED,-17.0
91320,2021,34.175967948820734,-118.9450868745988,10350800.0,6639.0,0.48740520856911634,1559.0902244313902,1380.0583,179.0318748220152,11.48,179.0318748220152,11.48,Adequate,-11.5
95965,2021,39.594690329991074,-121.59600932097764,2807362.0,2161.0,0.41163269913620415,1299.1031929662192,1018.53436,280.5688301732505,21.6,280.5688301732505,21.6,OVERPRICED,-21.6
91351,2021,34.43321935253567,-118.46292627030988,4537122.0,3594.0,0.4797987659669151,1262.415692821369,1167.6555,94.76017524324402,7.51,94.76017524324402,7.51,Adequate,-7.5
95642,2021,38.34263662103632,-120.76103419028604,2258431.0,1458.0,0.37715407744456925,1548.9924554183813,1263.262,285.73049252775627,18.45,285.73049252775627,18.45,OVERPRICED,-18.4
96156,2021,0.0,0.0,2908.0,2.0,0.3625481448971392,1454.0,1760.8158,-306.8157958984375,-21.1,306.8157958984375,21.1,UNDERPRICED,21.1
90024,2021,34.065739053947105,-118.43502591345296,5376261.0,1295.0,0.44760046620204286,4151.552895752896,3334.3777,817.1752102060209,19.68,817.1752102060209,19.68,OVERPRICED,-19.7
90014,2021,34.04314562083041,-118.25174643809532,476.0,1.0,0.38196486307398675,476.0,782.0736,-306.0736083984375,-64.3,306.0736083984375,64.3,UNDERPRICED,64.3
90011,2021,34.00706962363409,-118.25866986503986,1617707.0,1763.0,0.6445496216206615,917.5876347135564,887.20685,30.38078656902519,3.31,30.38078656902519,3.31,Adequate,-3.3
95626,2021,38.73298222479785,-121.46802821448168,992979.0,968.0,0.4430374959875458,1025.8047520661157,961.7385,64.06622667549073,6.25,64.06622667549073,6.25,Adequate,-6.2
90670,2021,33.93301111377303,-118.06265110229504,1303113.0,1585.0,0.543172381044475,822.1533123028391,787.2166,34.93669853330789,4.25,34.93669853330789,4.25,Adequate,-4.2
95635,2021,38.90497283943219,-120.90861815181589,332639.0,252.0,0.3722949804279865,1319.9960317460318,1467.6337,-147.6376352461557,-11.18,147.6376352461557,11.18,Adequate,11.2
96117,2021,40.546213996311934,-120.23995195711096,57319.0,37.0,0.3294778162325717,1549.162162162162,1398.6063,150.55583891997458,9.72,150.55583891997458,9.72,Adequate,-9.7
90003,2021,33.9641359441242,-118.27371901975108,1537173.0,1769.0,0.5903099656641461,868.9502543810062,817.21155,51.738706529443675,5.95,51.738706529443675,5.95,Adequate,-6.0
